Model_Index,mean_A2,std_A2,var_A2,median_A2,skew_A2,damage_type,severity_level,mean_S11,std_S11,var_S11,median_S11,skew_S11,mean_U2,std_U2,var_U2,median_U2,skew_U2
79,-0.0015662074468957,0.3064138883452361,0.0938894709708468,0.0,-1.4129980118888172,0,0,1869468.191927664,15132269.335441437,228985575240341.2,158778.38,0.0057447193888639,-0.000147316135318,0.0007437503398088,5.531645679657576e-07,-0.0002098807162838,1.7162409696069691
80,-0.0015662073753065,0.3064138878147083,0.0938894706457246,0.0,-1.4129979819198857,0,0,1869468.193168338,15132269.334099691,228985575199734.0,158778.38,0.0057447193058167,-0.000147316135318,0.0007437503398088,5.531645679657531e-07,-0.0002098807162838,1.7162409696070249
1,-0.0015723051650956,0.3063237886081613,0.0938342634672574,0.0,-1.4128591704569544,0,1,1868972.9784768831,15121982.748306628,228674362240083.3,157113.94,0.0100705551334077,-0.0001477075126161,0.0007434872922271,5.52773353703329e-07,-0.0002103452861774,1.720822257733066
2,-0.0015723051443603,0.3063237883648743,0.0938342633182083,0.0,-1.4128591661933576,0,1,1868972.9788324812,15121982.747867549,228674362226803.72,157113.94,0.0100705551606518,-0.0001477075126161,0.0007434872922271,5.527733537033298e-07,-0.0002103452861774,1.7208222577330632
3,-0.0015632927068892,0.306359954075071,0.0938564214608796,0.0,-1.4137868589408271,0,1,1868716.2463735277,15123114.507124526,228708592395600.3,157723.60499999998,0.0105700810038643,-0.0001473447947429,0.0007434360914224,5.526972220294648e-07,-0.0002098854020005,1.72275391838099
4,-0.0015632927724486,0.3063599542731123,0.0938564215822235,0.0,-1.413786870814546,0,1,1868716.2463778628,15123114.507022072,228708592392501.44,157723.60499999998,0.0105700810281541,-0.0001473447947429,0.0007434360914224,5.526972220294623e-07,-0.0002098854020005,1.722753918381031
5,-0.0015632969289307,0.3063602878550824,0.0938566259746489,0.0,-1.4137906402791265,0,1,1868716.2252902333,15123114.58755054,228708594828183.9,157664.17,0.0105700289890895,-0.0001473447877311,0.000743436160935,5.526973253858693e-07,-0.0002099073317367,1.7227553002366516
6,-0.0015632969279344,0.3063602878624855,0.0938566259791849,0.0,-1.413790640236008,0,1,1868716.224925028,15123114.587820696,228708594836355.2,157664.16,0.0105700290202875,-0.0001473447876962,0.0007434361609932,5.526973254724173e-07,-0.0002099073317367,1.7227553000825055
7,-0.0015722806229973,0.3063221309399527,0.0938332479035935,0.0,-1.412873515449744,0,1,1868972.98116464,15121982.813969385,228674364225985.4,156895.0,0.0100706067239611,-0.0001477075212849,0.0007434871996462,5.52773216037829e-07,-0.0002103119186358,1.720822086932822
8,-0.0015722806339757,0.3063221309628297,0.0938332479176089,0.0,-1.412873514356762,0,1,1868972.981919128,15121982.813166346,228674364201698.4,156894.995,0.0100706067379316,-0.0001477075212494,0.0007434871997444,5.527732161838108e-07,-0.0002103119186358,1.7208220872189155
9,-0.0015657240490058,0.3063403404246195,0.0938444041714717,0.0,-1.4136922224686337,0,1,1868985.280766504,15121867.469620176,228670875768756.88,158355.83000000002,0.0100640967417429,-0.0001473070216922,0.0007433486189059,5.525671692294533e-07,-0.0002100691344821,1.7241445366170125
10,-0.0015657240409737,0.3063403404231202,0.0938444041705531,0.0,-1.413692222564538,0,1,1868985.28118574,15121867.469447274,228670875763527.7,158355.83000000002,0.0100640966652576,-0.0001473070217265,0.0007433486188168,5.52567169096865e-07,-0.0002100691344821,1.7241445364427914
11,-0.0015654829715696,0.3063686184699355,0.0938617303831769,0.0,-1.4138820971316048,0,1,1868948.7824450545,15121883.244770223,228671352868462.44,158355.62,0.0100657440932672,-0.0001472473723069,0.0007433696862146,5.525984903828056e-07,-0.0002098850382026,1.7242677941911766
12,-0.0015654829837308,0.3063686188153104,0.093861730594801,0.0,-1.4138820871669662,0,1,1868948.7820269032,15121883.245095327,228671352878294.8,158355.62,0.0100657441147711,-0.0001472473723091,0.0007433696862139,5.525984903818267e-07,-0.0002098850382026,1.7242677942037783
13,-0.0015647645332956,0.3063635914598599,0.0938586501721839,0.0,-1.413805803520747,0,1,1868816.1384339705,15123125.343171353,228708920145271.7,158349.11,0.0106165637241566,-0.0001472827269354,0.0007434558290139,5.527265696948288e-07,-0.0002098858967656,1.723538640312994
14,-0.0015647645643548,0.3063635914148735,0.0938586501446196,0.0,-1.4138058048766673,0,1,1868816.1391928357,15123125.34249215,228708920124728.3,158349.11,0.0106165637077314,-0.0001472827269005,0.0007434558290824,5.527265697967316e-07,-0.0002098858967656,1.7235386402381134
